Concord, New Hampshire   	1765	4534	3658	2021	4165	2793	186	560	1811	1531	8113	3565	1551	1272	1815	2066	1251	2238	188	628	117	1057	1726	2031	1804	3174	2085	4002	0	426	3048	192	1026	2325	1017	2382	4046	550	155	1313	2302	1517	2725	3313	142	805	3977	1005	1444	2731
Trenton, New Jersey      	1350	4584	3379	1662	3971	2563	244	135	1385	1116	7929	3417	1268	970	1589	1793	898	1835	613	204	383	861	1586	1636	1506	3062	1849	3810	426	0	2768	283	600	2258	701	2061	3928	179	331	887	2144	1142	2353	3117	484	379	3884	627	1254	2523
Santa Fe, New Mexico     	1847	3266	611	1242	1409	460	2946	2703	2098	1979	5249	1244	1503	1797	1256	981	1892	1495	3200	2619	3085	1998	1498	1497	1261	1315	991	1276	3048	2768	0	2862	2458	1521	2066	762	1770	2588	3051	2276	1079	1725	972	766	2978	2543	1888	2174	1641	617
Albany, New York         	1586	4448	3472	1829	3997	2615	134	415	1646	1353	7950	3408	1362	1081	1636	1880	1059	2052	373	469	230	879	1566	1844	1615	3027	1904	3835	192	283	2862	0	872	2190	825	2191	3899	370	215	1151	2140	1327	2534	3143	203	649	3837	818	1270	2558
Raleigh, North Carolina  	799	4727	3056	1247	3773	2348	843	466	790	570	7700	3302	1064	796	1449	1546	615	1304	1212	402	973	925	1590	1131	1239	3013	1667	3617	1026	600	2458	872	0	2313	603	1705	3845	523	917	294	2070	734	1880	2937	1075	223	3839	390	1227	2345
Bismarck, North Dakota   	2192	2426	1948	1712	2006	1062	2317	2272	2471	2153	5850	1319	1336	1532	978	1159	1737	2197	2405	2217	2412	1424	724	2035	1329	876	946	1850	2325	2258	1521	2190	2313	0	1714	1505	1738	2107	2405	2315	495	1809	2078	1251	2202	2254	1653	1922	1085	909
Columbus, Ohio           	894	4124	2677	1008	3289	1872	890	646	1063	700	7243	2766	567	269	911	1092	253	1288	1192	568	1033	334	995	1067	805	2446	1160	3129	1017	701	2066	825	603	1714	0	1369	3296	521	994	685	1506	536	1717	2438	983	550	3274	214	633	1841
Oklahoma City, Oklahoma  	1094	3699	1350	480	2145	808	2260	1983	1356	1217	6011	1834	842	1110	759	427	1166	816	2549	1897	2403	1377	1117	761	585	1727	597	2001	2382	2061	762	2191	1705	1505	1369	0	2392	1884	2364	1514	1016	971	580	1383	2331	1805	2462	1447	1096	892
Salem, Oregon            	3446	1676	1584	2834	720	1587	4020	3917	3725	3507	4118	560	2781	3056	2396	2340	3230	3204	4137	3850	4127	3067	2342	3148	2636	872	2185	696	4046	3928	1770	3899	3845	1738	3296	2392	0	3761	4114	3756	1790	3183	2740	1018	3929	3845	235	3477	2679	1536
Harrisburg, Pennsylvania 	1216	4456	3199	1493	3794	2384	389	168	1280	983	7751	3246	1088	790	1412	1613	725	1688	737	147	535	694	1422	1483	1327	2898	1670	3633	550	179	2588	370	523	2107	521	1884	3761	0	488	788	1974	977	2189	2940	568	307	3722	461	1083	2345
Providence, Rhode Island 	1682	4651	3662	1981	4206	2817	104	456	1708	1447	8160	3621	1547	1258	1837	2070	1212	2166	308	534	56	1083	1779	1966	1795	3242	2104	4043	155	331	3051	215	917	2405	994	2364	4114	488	0	1210	2352	1466	2677	3351	287	702	4053	949	1477	2763
Columbia, South Carolina 	520	4741	2860	1039	3630	2216	1131	755	498	310	7526	3204	999	787	1388	1422	579	1028	1500	685	1265	1017	1594	873	1120	2951	1572	3477	1313	887	2276	1151	294	2315	685	1514	3756	788	1210	0	2015	575	1625	2812	1353	508	3769	486	1241	2231
Pierre, South Dakota     	1807	2783	1579	1270	1869	641	2254	2128	2091	1807	5811	1272	1017	1274	627	706	1460	1744	2416	2060	2370	1283	576	1601	935	943	496	1706	2302	2144	1079	2140	2070	495	1506	1016	1790	1974	2352	2015	0	1464	1584	1027	2198	2057	1770	1693	891	511
Nashville, Tennessee     	425	4226	2321	526	3058	1641	1367	1044	676	345	6970	2629	474	407	844	846	282	752	1700	957	1513	755	1111	530	547	2389	1003	2905	1517	1142	1725	1327	734	1809	536	971	3183	977	1466	575	1464	0	1211	2236	1502	843	3201	516	799	1655
Austin, Texas            	1113	4175	1396	710	2354	1241	2578	2251	1292	1317	6029	2204	1288	1493	1312	993	1474	634	2905	2164	2724	1815	1682	752	1054	2193	1176	2233	2725	2353	972	2534	1880	2078	1717	580	2740	2189	2677	1625	1584	1211	0	1727	2700	2034	2848	1727	1605	1365
Salt Lake City, Utah     	2459	2514	812	1840	854	596	3251	3082	2731	2543	4812	478	1885	2178	1529	1393	2327	2189	3436	3006	3374	2269	1597	2144	1700	649	1279	692	3313	3117	766	3143	2937	1251	2438	1383	1018	2940	3351	2812	1027	2236	1727	0	3215	2971	1123	2595	1874	596
Montpelier, Vermont      	1779	4394	3585	1991	4065	2706	278	618	1847	1548	8007	3455	1492	1224	1734	1998	1227	2237	223	672	258	979	1622	2025	1748	3057	2004	3902	142	484	2978	203	1075	2202	983	2331	3929	568	287	1353	2198	1502	2700	3215	0	852	3855	1001	1356	2639
Richmond, Virginia       	987	4646	3148	1369	3817	2393	623	246	1007	753	7763	3312	1086	794	1454	1597	653	1484	992	179	757	833	1541	1297	1293	2997	1692	3658	805	379	2543	649	223	2254	550	1805	3845	307	702	508	2057	843	2034	2971	852	0	3825	376	1181	2375
Olympia, Washington      	3488	1469	1764	2884	950	1653	3962	3881	3770	3533	4241	644	2780	3044	2391	2367	3227	3278	4058	3818	4062	3027	2299	3206	2655	827	2198	912	3977	3884	1888	3837	3839	1653	3274	2462	235	3722	4053	3769	1770	3201	2848	1123	3855	3825	0	3463	2647	1581
Charleston, West Virginia	787	4336	2782	1035	3441	2016	851	537	910	567	7386	2940	709	421	1082	1221	282	1235	1191	450	996	546	1200	1025	918	2636	1316	3282	1005	627	2174	818	390	1922	214	1447	3477	461	949	486	1693	516	1727	2595	1001	376	3463	0	837	1998
Madison, Wisconsin       	1221	3506	2241	961	2729	1350	1376	1237	1474	1122	6684	2162	366	453	385	693	662	1411	1579	1171	1501	395	362	1198	553	1821	653	2566	1444	1254	1641	1270	1227	1085	633	1096	2679	1083	1477	1241	891	799	1605	1874	1356	1181	2647	837	0	1287
Cheyenne, Wyoming        	1911	2817	1069	1303	1449	157	2662	2486	2191	1973	5406	977	1289	1582	933	809	1733	1707	2861	2409	2788	1680	1039	1625	1112	837	682	1288	2731	2523	617	2558	2345	909	1841	892	1536	2345	2763	2231	511	1655	1365	596	2639	2375	1581	1998	1287	0
